Team,Team Rank,New Rank 90/10,New Rank 80/20,New Rank 70/30,New Rank 60/40,NQS,Wins,Losses,Home Meets,Away Meets,Total Competitions,Win Percentage,Adjusted Win Percentage,Scoring Margin,Team Value Index,Team Efficiency
Michigan,3,2,2,1,1,198.08,25,2,5,4,27,0.93,2.16,57.85000000000002,12.896296296296295,5.232592592592594
Oklahoma,1,1,1,2,2,198.355,17,1,5,5,18,0.94,2.07,25.25000000000003,9.877777777777778,4.412777777777779
Florida,2,3,3,3,3,198.11,19,2,7,5,21,0.9,1.88,30.050000000000125,9.733333333333334,4.210952380952387
Denver,13,11,7,6,4,197.445,17,4,8,6,21,0.81,1.49,48.80000000000001,13.99047619047619,4.623809523809524
Utah,5,4,4,4,5,197.91,18,3,5,3,21,0.86,1.8,22.10000000000005,7.123809523809523,3.712380952380955
California,7,6,5,5,6,197.825,22,4,9,3,28,0.79,1.67,36.37499999999997,9.128571428571428,3.759107142857142
Michigan State,10,9,8,7,7,197.595,22,3,5,8,25,0.88,1.87,30.425000000000097,9.991999999999999,3.967000000000004
Kentucky,9,7,9,9,8,197.71,14,6,5,5,20,0.7,1.13,31.275000000000063,5.6,3.393750000000003
UCLA,4,5,6,8,9,197.95,14,5,4,4,21,0.67,1.3,19.325000000000017,6.847619047619046,2.890238095238096
Minnesota,18,15,13,12,10,197.015,17,8,6,6,26,0.65,1.05,50.8249999999999,4.646153846153846,3.654807692307689
Ohio State,16,14,14,14,11,197.1,22,8,8,7,30,0.73,1.26,34.39999999999989,6.319999999999999,3.136666666666663
LSU,6,8,10,10,12,197.84,13,7,5,5,20,0.65,0.93,8.824999999999989,2.73,2.0212499999999993
Alabama,8,10,11,11,13,197.72,13,6,5,4,19,0.68,1.06,8.500000000000114,2.3157894736842106,2.187368421052638
Towson,31,23,18,15,14,196.45,33,7,10,10,41,0.8,1.63,65.92499999999984,9.292682926829269,4.037926829268288
Oregon State,11,12,12,13,15,197.49,15,7,7,4,24,0.62,1.02,19.074999999999903,5.441666666666666,2.434791666666663
